id,name,category,group,lat,lon,watershed,mlra_name,elevation_m,slope_deg,aspect_deg,nlcd_class,cdl_class,soil_map_unit,ecological_site,soil_taxonomy,parent_material,temp_regime,moisture_regime,ph,organic_matter_pct,cec,sand_pct,silt_pct,clay_pct,dist_to_town_km,dist_to_road_km,dist_to_forest_boundary_km
clhs-Dry_Creek-Yampa_River-3,cLHS site 3 — Dry Creek-Yampa River,clhs,Dry Creek-Yampa River,40.57431368,-107.6104176047,Dry Creek-Yampa River,Cool Central Desertic Basins and Plateaus,2255.0,12.9,220.5,Shrub/Scrub,Shrubland,"Maudlin-Duffymont complex, 3 to 15 percent slopes, very stony",Mountain Loam,"Fine-loamy, mixed Typic Argiborolls",residuum derived from sandstone,frigid,,7.2,2.5,10.0,70.5,16.5,13.0,6.0,1.1,25.3
clhs-Dry_Creek-Yampa_River-4,cLHS site 4 — Dry Creek-Yampa River,clhs,Dry Creek-Yampa River,40.5581440294,-107.612989852,Dry Creek-Yampa River,Cool Central Desertic Basins and Plateaus,2042.1,5.5,203.7,Shrub/Scrub,Shrubland,"Berlake sandy loam, 3 to 12 percent slopes",Sandy Slopes,"Fine-loamy, mixed Aridic Argiborolls",alluvium and residuum derived from sandstone,frigid,,7.6,1.5,7.5,67.0,19.5,13.5,4.2,0.5,27.0
clhs-Dry_Creek-Yampa_River-5,cLHS site 5 — Dry Creek-Yampa River,clhs,Dry Creek-Yampa River,40.5649152366,-107.6158142683,Dry Creek-Yampa River,Cool Central Desertic Basins and Plateaus,2161.3,27.3,249.8,Evergreen Forest,Evergreen Forest,"Grieves-Crestman complex, 10 to 40 percent slopes",Sandy Slopes,"Coarse-loamy, mixed (calcareous), frigid Ustic Torriorthents",alluvium derived from sandstone,frigid,Aridic (torric),8.1,0.42,7.5,74.4,14.1,11.5,5.0,0.5,26.5
kmeans-Morgan_Gulch-Yampa_River-1,K-Means site 1 — Morgan Gulch-Yampa River,kmeans,Morgan Gulch-Yampa River,40.3751761816,-107.8057294978,Morgan Gulch-Yampa River,Cool Central Desertic Basins and Plateaus,1939.4,5.5,286.4,Shrub/Scrub,Shrubland,"Kemmerer-Moyerson complex, 20 to 40 percent slopes",Clayey Slopes,"Fine, montmorillonitic Borollic Camborthids",residuum derived from shale,frigid,Aridic (torric),8.2,0.52,31.0,22.0,37.0,41.0,23.1,1.5,25.7
kmeans-Morgan_Gulch-Yampa_River-2,K-Means site 2 — Morgan Gulch-Yampa River,kmeans,Morgan Gulch-Yampa River,40.3926215211,-107.9000049055,Morgan Gulch-Yampa River,Cool Central Desertic Basins and Plateaus,1919.5,5.0,88.8,Shrub/Scrub,Shrubland,"Kemmerer-Moyerson complex, 20 to 40 percent slopes",Clayey Slopes,"Fine, montmorillonitic Borollic Camborthids",residuum derived from shale,frigid,Aridic (torric),8.2,0.52,31.0,22.0,37.0,41.0,20.2,0.2,33.5
kmeans-Morgan_Gulch-Yampa_River-3,K-Means site 3 — Morgan Gulch-Yampa River,kmeans,Morgan Gulch-Yampa River,40.2455593098,-107.9810074109,Morgan Gulch-Yampa River,Southern Rocky Mountains,2286.0,12.6,168.1,Shrub/Scrub,Shrubland,"Lamphier-Jerry complex, 25 to 65 percent slopes",Brushy Loam,"Fine-loamy, mixed Pachic Cryoborolls",colluvium and residuum derived from sandstone,cryic,Udic,6.6,30.0,30.0,68.1,14.4,17.5,30.9,5.1,36.5
kmeans-Morgan_Gulch-Yampa_River-4,K-Means site 4 — Morgan Gulch-Yampa River,kmeans,Morgan Gulch-Yampa River,40.3961645616,-107.7756285213,Morgan Gulch-Yampa River,Southern Rocky Mountains,2017.9,9.5,72.2,Shrub/Scrub,Shrubland,"Torriorthents-Rock outcrop, sandstone complex, 25 to 75 percent slopes",Loamy Breaks,"Coarse-loamy, mixed, superactive, calcareous, frigid Ustic Torriorthents",colluvium derived from sandstone and/or residuum weathered from sandstone,frigid,Aridic (torric),7.8,0.77,10.0,68.3,19.7,12.0,19.7,4.4,25.0
kmeans-Morgan_Gulch-Yampa_River-5,K-Means site 5 — Morgan Gulch-Yampa River,kmeans,Morgan Gulch-Yampa River,40.4371878836,-107.8054321666,Morgan Gulch-Yampa River,Cool Central Desertic Basins and Plateaus,1961.5,20.0,219.4,Shrub/Scrub,Shrubland,"Torriorthents-Rock outcrop, sandstone complex, 25 to 75 percent slopes",Loamy Breaks,"Coarse-loamy, mixed, superactive, calcareous, frigid Ustic Torriorthents",colluvium derived from sandstone and/or residuum weathered from sandstone,frigid,Aridic (torric),7.8,0.77,10.0,68.3,19.7,12.0,19.4,4.7,29.9
clhs-Morgan_Gulch-Yampa_River-1,cLHS site 1 — Morgan Gulch-Yampa River,clhs,Morgan Gulch-Yampa River,40.3046857769,-107.8630753329,Morgan Gulch-Yampa River,Southern Rocky Mountains,2183.2,2.1,316.1,Shrub/Scrub,Shrubland,"Kemmerer-Moyerson complex, 20 to 40 percent slopes",Clayey Slopes,"Fine, montmorillonitic Borollic Camborthids",residuum derived from shale,frigid,Aridic (torric),8.2,0.52,31.0,22.0,37.0,41.0,29.5,1.4,27.1
clhs-Morgan_Gulch-Yampa_River-2,cLHS site 2 — Morgan Gulch-Yampa River,clhs,Morgan Gulch-Yampa River,40.4236044904,-107.7917704576,Morgan Gulch-Yampa River,Southern Rocky Mountains,2008.7,19.7,277.9,Evergreen Forest,Evergreen Forest,"Torriorthents-Rock outcrop, sandstone complex, 25 to 75 percent slopes",Loamy Breaks,"Coarse-loamy, mixed, superactive, calcareous, frigid Ustic Torriorthents",colluvium derived from sandstone and/or residuum weathered from sandstone,frigid,Aridic (torric),7.8,0.77,10.0,68.3,19.7,12.0,19.1,4.8,28.0
