ranking,tier,n_structures,n_years,pearson_r,pearson_p,log_pearson_r,log_pearson_p,spearman_rho,spearman_p
Seniority (admin number),Senior,15,47,0.5820888930150746,1.772135563427319e-05,0.5783790679649856,2.062520081999394e-05,0.5548424409390312,5.181385467094227e-05
Seniority (admin number),Mid,15,47,0.7433084077329267,2.173878894637344e-09,0.7507502107345131,1.2228134785156426e-09,0.7632841874568727,4.4279771576511975e-10
Seniority (admin number),Junior,14,47,0.3663372875956666,0.011322828938894903,0.37705565128882923,0.008986512912901264,0.3220583989193835,0.027268271619936675
Decreed quantity,Large,14,47,0.8289653784834607,6.22709521974098e-13,0.7658691557797309,3.5633400287923284e-10,0.8760335371683267,7.497219254997642e-16
Decreed quantity,Mid,15,47,0.8358401424090394,2.6710788622913615e-13,0.7994653710586698,1.603377284105258e-11,0.82254987127956,1.3272369265733056e-12
Decreed quantity,Small,15,47,0.08213882809978587,0.5830871355642077,0.06996960432958055,0.6402537128130231,0.057473258263171845,0.7011827808944597
Actual avg annual volume,Large,15,47,0.28078015089569114,0.05590791346548977,0.42994672837950115,0.002559463401185393,0.5307314261545818,0.00012421385150700707
Actual avg annual volume,Mid,15,47,0.32082704250100974,0.027896578576687495,0.3970861262732634,0.0057165180259550466,0.38386817063299583,0.0077285156473195496
Actual avg annual volume,Small,15,47,0.6003834327081474,8.15426861235741e-06,0.5911527913238966,1.2135208845436225e-05,0.5682567225457272,3.0916641995697286e-05
