system:index,date,lwe_thickness,.geo
20230930_20231030,2023-09-30,-8.122676862679613,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231031_20231129,2023-10-31,-8.731282712916482,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231130_20231230,2023-11-30,-6.360053184745931,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231231_20240130,2023-12-31,-4.614135998641478,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240131_20240228,2024-01-31,0.8367789187579181,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240229_20240330,2024-02-29,0.6196397743015486,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240331_20240429,2024-03-31,-0.05540196690092564,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240430_20240530,2024-04-30,0.8891338881103603,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240531_20240629,2024-05-31,-1.3738936770215153,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240630_20240730,2024-06-30,-4.992426848805091,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240731_20240830,2024-07-31,-7.241424789557209,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240831_20240929,2024-08-31,-9.720171953901291,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240930_20241030,2024-09-30,-12.072123130343243,"{""type"":""MultiPoint"",""coordinates"":[]}"
